datetime,event_type
1668-05-26T03:28:02+00:00,Partial lunar eclipse
1668-11-18T14:51:34+00:00,Partial lunar eclipse
1669-04-16T07:14:49+00:00,Penumbral lunar eclipse
1669-05-15T18:11:11+00:00,Penumbral lunar eclipse
1669-10-09T10:35:15+00:00,Penumbral lunar eclipse
1669-11-07T21:53:22+00:00,Penumbral lunar eclipse
1670-04-05T11:30:49+00:00,Partial lunar eclipse
1670-09-29T02:24:11+00:00,Partial lunar eclipse
1671-03-25T11:22:50+00:00,Total lunar eclipse
1671-09-18T18:24:31+00:00,Total lunar eclipse
1672-03-13T14:20:03+00:00,Partial lunar eclipse
1672-09-07T06:02:42+00:00,Partial lunar eclipse
1673-02-01T13:37:28+00:00,Penumbral lunar eclipse
1673-03-03T00:23:15+00:00,Penumbral lunar eclipse
1673-07-28T19:19:30+00:00,Penumbral lunar eclipse
1674-01-22T05:23:12+00:00,Partial lunar eclipse
1674-07-17T20:29:26+00:00,Total lunar eclipse
1675-01-11T19:21:00+00:00,Total lunar eclipse
1675-07-07T03:35:27+00:00,Total lunar eclipse
1676-01-01T03:15:33+00:00,Partial lunar eclipse
1676-05-27T10:36:43+00:00,Penumbral lunar eclipse
1676-06-25T17:31:21+00:00,Penumbral lunar eclipse
1676-11-20T08:57:38+00:00,Penumbral lunar eclipse
1676-12-20T04:10:58+00:00,Penumbral lunar eclipse
1677-05-17T03:32:14+00:00,Partial lunar eclipse
1677-11-09T10:51:55+00:00,Partial lunar eclipse
1678-05-06T16:43:37+00:00,Total lunar eclipse
1678-10-29T20:05:36+00:00,Total lunar eclipse
1679-04-25T22:47:44+00:00,Partial lunar eclipse
1679-10-19T10:58:09+00:00,Partial lunar eclipse
1680-03-15T06:41:06+00:00,Penumbral lunar eclipse
1680-04-13T23:17:18+00:00,Penumbral lunar eclipse
1680-09-08T17:34:33+00:00,Penumbral lunar eclipse
1680-10-08T03:05:42+00:00,Penumbral lunar eclipse
1681-03-04T11:25:48+00:00,Partial lunar eclipse
1681-08-29T03:25:13+00:00,Partial lunar eclipse
1682-02-21T23:12:27+00:00,Total lunar eclipse
1682-08-18T06:16:28+00:00,Total lunar eclipse
1683-02-11T14:51:51+00:00,Partial lunar eclipse
1683-08-07T06:48:09+00:00,Partial lunar eclipse
1684-01-02T16:59:49+00:00,Penumbral lunar eclipse
1684-02-01T05:47:07+00:00,Penumbral lunar eclipse
1684-06-27T02:29:27+00:00,Partial lunar eclipse
1684-12-21T22:46:41+00:00,Partial lunar eclipse
1685-06-16T17:44:59+00:00,Total lunar eclipse
1685-12-10T22:28:38+00:00,Total lunar eclipse
1686-06-06T10:57:44+00:00,Partial lunar eclipse
1686-11-29T22:59:03+00:00,Partial lunar eclipse
1687-04-27T14:35:17+00:00,Penumbral lunar eclipse
1687-05-27T01:27:28+00:00,Penumbral lunar eclipse
1687-10-20T18:49:21+00:00,Penumbral lunar eclipse
1687-11-19T06:18:04+00:00,Penumbral lunar eclipse
1688-04-15T18:36:37+00:00,Partial lunar eclipse
1688-10-09T10:36:34+00:00,Partial lunar eclipse
1689-04-04T18:35:52+00:00,Total lunar eclipse
1689-09-29T02:20:31+00:00,Total lunar eclipse
1690-03-24T22:02:18+00:00,Partial lunar eclipse
1690-09-18T13:27:51+00:00,Partial lunar eclipse
1691-02-12T22:15:50+00:00,Penumbral lunar eclipse
1691-03-14T08:35:57+00:00,Penumbral lunar eclipse
1691-08-09T01:51:36+00:00,Penumbral lunar eclipse
1692-02-02T14:07:55+00:00,Partial lunar eclipse
1692-07-28T03:10:10+00:00,Partial lunar eclipse
1693-01-22T03:57:50+00:00,Total lunar eclipse
1693-07-17T10:40:17+00:00,Total lunar eclipse
1694-01-11T11:32:21+00:00,Partial lunar eclipse
1694-06-07T18:07:28+00:00,Penumbral lunar eclipse
1694-07-07T00:54:40+00:00,Partial lunar eclipse
1694-12-01T16:53:45+00:00,Penumbral lunar eclipse
1694-12-31T12:13:14+00:00,Penumbral lunar eclipse
