datetime,event_type,duration_minutes,duration_seconds
1664-07-23T01:48:46+00:00,Partial solar eclipse,,
1664-08-21T08:58:23+00:00,Partial solar eclipse,,
1665-01-16T07:11:51+00:00,Annular solar eclipse,24,11
1665-07-12T18:44:06+00:00,Total solar eclipse,02,06
1666-01-05T08:58:51+00:00,Annular solar eclipse,07,05
1666-07-02T07:42:30+00:00,Hybrid or annular/total solar eclipse,39,00
1666-12-25T17:59:16+00:00,Hybrid or annular/total solar eclipse,24,00
1667-05-22T22:58:00+00:00,Partial solar eclipse,,
1667-06-21T13:36:07+00:00,Partial solar eclipse,,
1667-11-15T22:12:06+00:00,Partial solar eclipse,,
1667-12-15T08:29:59+00:00,Partial solar eclipse,,
1668-05-10T23:37:24+00:00,Annular solar eclipse,21,05
1668-11-04T12:40:05+00:00,Hybrid or annular/total solar eclipse,57,00
1669-04-30T05:26:07+00:00,Hybrid or annular/total solar eclipse,22,00
1669-10-24T21:28:05+00:00,Annular solar eclipse,07,04
1670-04-19T18:12:20+00:00,Total solar eclipse,15,03
1670-10-13T23:19:00+00:00,Annular solar eclipse,34,06
1671-03-11T01:50:58+00:00,Partial solar eclipse,,
1671-04-09T10:41:25+00:00,Partial solar eclipse,,
1671-09-03T08:23:57+00:00,Partial solar eclipse,,
1671-10-02T23:13:22+00:00,Partial solar eclipse,,
1672-02-28T14:50:43+00:00,Annular solar eclipse,38,00
1672-08-22T17:44:06+00:00,Total solar eclipse,15,02
1673-02-16T20:49:18+00:00,Annular solar eclipse,52,06
1673-08-12T09:04:05+00:00,Total solar eclipse,15,06
1674-02-05T20:41:35+00:00,Annular solar eclipse,09,09
1674-08-02T02:07:57+00:00,Total solar eclipse,08,04
1674-12-27T05:27:33+00:00,Partial solar eclipse,,
1675-01-25T21:19:48+00:00,Partial solar eclipse,,
1675-06-23T05:44:39+00:00,Annular solar eclipse,01,01
1675-12-16T16:24:03+00:00,Total solar eclipse,33,01
1676-06-11T09:42:37+00:00,Annular solar eclipse,38,05
1676-12-05T07:42:08+00:00,Total solar eclipse,30,04
1677-05-31T10:13:53+00:00,Annular solar eclipse,36,06
1677-11-24T22:44:03+00:00,Total solar eclipse,36,01
1678-04-21T03:45:50+00:00,Partial solar eclipse,,
1678-05-20T14:40:42+00:00,Partial solar eclipse,,
1678-10-15T17:36:58+00:00,Partial solar eclipse,,
1678-11-14T08:58:14+00:00,Partial solar eclipse,,
1679-04-10T17:55:13+00:00,Total solar eclipse,17,04
1679-10-04T18:13:56+00:00,Annular solar eclipse,21,07
1680-03-30T10:32:01+00:00,Total solar eclipse,25,05
1680-09-22T19:06:23+00:00,Annular solar eclipse,08,05
1681-03-20T00:52:59+00:00,Hybrid or annular/total solar eclipse,26,00
1681-09-12T02:33:12+00:00,Hybrid or annular/total solar eclipse,40,00
1682-02-07T15:59:21+00:00,Partial solar eclipse,,
1682-08-03T09:21:11+00:00,Partial solar eclipse,,
1682-09-01T16:42:24+00:00,Partial solar eclipse,,
1683-01-27T15:10:09+00:00,Annular solar eclipse,44,10
1683-07-24T02:07:00+00:00,Total solar eclipse,38,05
1684-01-16T17:18:53+00:00,Annular solar eclipse,43,04
1684-07-12T14:40:35+00:00,Hybrid or annular/total solar eclipse,23,00
1685-01-05T02:42:50+00:00,Hybrid or annular/total solar eclipse,35,00
1685-07-01T20:06:07+00:00,Partial solar eclipse,,
